Altium Designer Pick and Place Locations
C:\Users\WFE\Documents\automotive_dcdc\schematics\stage2_dcdc\Project Outputs for stage2_dcdc\Pick Place for dcdc.csv

========================================================================================================================
File Design Information:

Date:       16-03-26
Time:       15:17
Revision:   2a5c33854a1aa8a6f2ecf547be3268df1b52c2d2
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C21","860040674004","TopLayer","WCAP-ATUL_D8H11.5","117.0260","11.2500","180","WCAP-ATUL Aluminum Electrolytic Capacitors"
"C20","860040674004","TopLayer","WCAP-ATUL_D8H11.5","31.6510","60.0000","0","WCAP-ATUL Aluminum Electrolytic Capacitors"
"C19","GRM21BR71A225KA01L","TopLayer","CAPC2013X135X50ML10T20","62.5000","33.5000","180",""
"U1","LM5146QRGYTQ1","TopLayer","FP-RGY0020B-MFG","56.5000","35.5000","0","IC REG BUCK ADJ 3.5A 20VQFN"
"R11","RC0805FR-071K58L","TopLayer","RESC2013X60X35LL10T20","57.5000","27.5000","270",""
"R10","RMCF0805FT40K2","TopLayer","FP-RMCF0805-IPC_C","51.0000","38.0000","180","40.2kO ±1% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant"
"R9","RC0805FR-0713K3L","TopLayer","RESC2013X60X35ML10T20","54.0000","40.7500","90",""
"R8","RMCF0805FT6K04","TopLayer","FP-RMCF0805-IPC_B","52.0000","27.5000","90","6.04kO ±1% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant"
"R7","RN73C2A20KBTDF","TopLayer","FP-RN732A-MFG","62.5000","31.0000","0","SMD Chip Resistor, Thin Film, 20KO, 100 V, 0805 [2012 Metric], 100 mW, 0.1%, RN73 Series"
"R6","RMCF0805FT22K1","TopLayer","FP-RMCF0805-IPC_B","60.0000","27.5000","90","22.1kO ±1% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant"
"R5","RK73H2ATTD2101F","TopLayer","RESC2013X60X30NL20T20","62.5000","27.5000","90",""
"R4","CRCW0805127RFKEA","TopLayer","FP-CRCW0805-e3-IPC_C","57.5000","23.5000","180","RES Thick Film, 127O, 1%, 0.125W, 100ppm/°C, 0805"
"R3","RMCF0805FT301K","TopLayer","FP-RMCF0805-IPC_A","56.7500","40.7500","270","301kO ±1% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant"
"R2","RMCF0805JT2R20","TopLayer","FP-RMCF0805-IPC_A","62.5000","38.5000","0","2.2O ±5% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant"
"R1","RN73C2A20KBTDF","TopLayer","FP-RN732A-MFG","62.5000","36.0000","0","SMD Chip Resistor, Thin Film, 20KO, 100 V, 0805 [2012 Metric], 100 mW, 0.1%, RN73 Series"
"Q2","STP130N6F7","TopLayer","TO255P460X1020X2008-3P","42.0000","18.5500","270","N-channel 60 V, 4.2 m typ., 80 A STripFET F7 Power MOSFET in a TO-220 package"
"Q1","STP130N6F7","TopLayer","TO255P460X1020X2008-3P","42.0000","52.0000","270","N-channel 60 V, 4.2 m typ., 80 A STripFET F7 Power MOSFET in a TO-220 package"
"MP4","7461100","TopLayer","7461100_chemical_surface","15.0000","20.0000","0","PCB power element shank terminal, 36P M10"
"MP3","7461100","TopLayer","7461100_chemical_surface","135.0000","50.0000","0","PCB power element shank terminal, 36P M10"
"MP2","7461100","TopLayer","7461100_chemical_surface","135.0000","20.0000","0","PCB power element shank terminal, 36P M10"
"MP1","7461100","TopLayer","7461100_chemical_surface","15.0000","50.0000","0","PCB power element shank terminal, 36P M10"
"L1","CPRX3231L-8R2MC","TopLayer","CPRX3231L-8R2MC","93.0000","35.0000","0",""
"C18","C2220C226M5R2C7289","TopLayer","FP-C2220C226M5R2C7289-MFG","117.0260","50.2910","0","CAP CER 22UF 50V X7R SMD"
"C17","C2220C226M5R2C7289","TopLayer","FP-C2220C226M5R2C7289-MFG","117.0260","42.6470","0","CAP CER 22UF 50V X7R SMD"
"C16","C2220C226M5R2C7289","TopLayer","FP-C2220C226M5R2C7289-MFG","117.0260","35.0030","0","CAP CER 22UF 50V X7R SMD"
"C15","C2220C226M5R2C7289","TopLayer","FP-C2220C226M5R2C7289-MFG","117.0260","27.3590","0","CAP CER 22UF 50V X7R SMD"
"C14","C2220C226M5R2C7289","TopLayer","FP-C2220C226M5R2C7289-MFG","117.0260","19.7150","0","CAP CER 22UF 50V X7R SMD"
"C13","C2220C226M5R2C7289","TopLayer","FP-C2220C226M5R2C7289-MFG","117.0260","58.0620","0","CAP CER 22UF 50V X7R SMD"
"C12","C2220C226M5R2C7289","TopLayer","FP-C2220C226M5R2C7289-MFG","31.6510","43.5920","180","CAP CER 22UF 50V X7R SMD"
"C11","C2220C226M5R2C7289","TopLayer","FP-C2220C226M5R2C7289-MFG","31.6510","35.8210","180","CAP CER 22UF 50V X7R SMD"
"C10","C2220C226M5R2C7289","TopLayer","FP-C2220C226M5R2C7289-MFG","31.6510","28.1770","180","CAP CER 22UF 50V X7R SMD"
"C9","C2220C226M5R2C7289","TopLayer","FP-C2220C226M5R2C7289-MFG","31.6510","20.5330","180","CAP CER 22UF 50V X7R SMD"
"C8","C2220C226M5R2C7289","TopLayer","FP-C2220C226M5R2C7289-MFG","31.6510","12.8890","180","CAP CER 22UF 50V X7R SMD"
"C7","C2220C226M5R2C7289","TopLayer","FP-C2220C226M5R2C7289-MFG","31.6510","51.2360","180","CAP CER 22UF 50V X7R SMD"
"C6","C0805C100JDGACTU","TopLayer","CAPC2013X88X50ML20T25","65.0000","27.5000","270",""
"C5","C0805C473K5RACTU","TopLayer","FP-C0805C-DN-MFG","51.0000","35.5000","180","CAP CER 0.047UF 50V X7R 0805"
"C4","C0805C102J5GACTU","TopLayer","FP-C0805C-DN-MFG","55.0000","27.5000","90","CAP CER 1000PF 50V C0G/NP0 0805"
"C3","GRM2165C1H472JA01D","TopLayer","FP-GRM216-0_1-IPC_C","49.0000","27.5000","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 4700pF, C0G, 30ppm/°C, 5%, 50V"
"C2","CC0805KRX7R9BB221","TopLayer","FP-CC0805-0_85-MFG","51.0000","32.5000","0","CAP CER 220PF 50V X7R 0805"
"C1","C0805C104K5RACTU","TopLayer","FP-C0805C-DN-MFG","62.5000","41.0000","0","CAP CER 0.1UF 50V X7R 0805"
